"","Time","Appendicularians","Chaetognatha","Cirripedia","Echinodermata","Evadne spp.","Gastropoda","Hyperiidea","Penilia spp.","Plankton bio-volume","Salpa"
"29",2005,2.80639124037466,3.253528794262,0,2.74636370175262,0,1.47778548060321,3.26342140320668,0,1.5081270153505,0
"30",2006,3.31172905887865,3.53296301937646,0,3.61516157298381,0,2.24624398296333,2.35939383574992,0,1.6216468999127,2.60663489495943
"31",2007,2.31394998036727,2.65833588224458,0,2.32220432380132,0,1.90158065716708,3.19320732277984,0,1.55398606817133,2.24239313713757
"32",2008,3.2421859100178,2.9227228638322,0,3.39476502753012,2.0743978948058,2.28218076976327,3.09031468439867,2.74936483625412,1.58783698329769,1.2507691981719
"33",2009,2.45688342604563,3.13675200665069,0,2.43883172704963,0,1.50134290303213,2.36282803587519,1.91894778670431,1.44766009319747,1.44422208388316
"34",2010,2.02928100747347,2.84269192645468,0,2.96653540446758,1.22736694802806,1.79922947333205,2.29791264654061,2.59928891173156,1.39789390574928,2.07661686081608
"35",2011,2.34129702061851,3.28395011407035,0,3.44303341118595,0,2.04554881545414,2.41989135443127,1.69640496075928,1.40312289267337,1.59802305483457
"36",2012,2.6722519042108,3.48360336989381,0,3.03360967224474,1.0435807361665,2.97865954410473,3.20717062719095,2.40696498478411,1.4084013720084,2.26936791079225
"37",2013,3.01372270052148,3.37420303334044,0,2.65250865294624,2.71589435765393,2.45151422805876,2.17264064685221,3.04003726517762,1.61201002911025,2.42413329643532
"38",2014,2.74941021932895,3.49882025013775,0,2.92526155923693,0,2.94403716427031,3.26200208421935,1.34027356878159,1.44393435171643,2.15584212525496
"39",2015,3.47559303356074,3.42107767558019,0,3.50679645808228,2.01892833605315,2.16161404676079,2.84045981037644,0,1.50148578944643,2.20108080525891
"40",2016,3.82902112541582,3.20540993340502,0,2.76933435941074,2.49928388970477,2.74624782972892,3.08683028659392,2.94361551552268,1.38395842612943,3.39779864349374
"41",2017,2.58515520341482,3.33413237947862,0,2.19940292159229,0,2.64390892797575,2.31827928002826,0,1.47493361718987,1.5221143373902
