"common_name","sci_name","cc_name","stock_name","species_code","svspp","stock_season","strata"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1700"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1710"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1720"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1730"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1740"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1750"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1760"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1010"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1020"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1030"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1040"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1050"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1060"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1070"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1080"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1090"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1100"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1110"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1120"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1130"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1140"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1150"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1160"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1170"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1180"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1190"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1200"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1210"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1220"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1230"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1240"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1250"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1260"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1270"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1280"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1290"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1300"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1340"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1350"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1360"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1370"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1380"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1390"
"barndoor skate","Dipturus laevis","barndoor-skate","barndoor-skate","barska",22,"both","1400"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1010"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1020"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1030"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1040"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1050"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1060"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1070"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1080"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1090"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1100"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1110"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1120"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1130"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1140"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1150"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1160"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1170"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1180"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1190"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1200"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1210"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1220"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1230"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1240"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1250"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1260"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1270"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1280"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1290"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1300"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1340"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1350"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1360"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1370"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1380"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1390"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1400"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1610"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1620"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1630"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1640"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1650"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1660"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1670"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1680"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1690"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1700"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1710"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1720"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1730"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1740"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1750"
"winter skate","Leucoraja ocellata","winter-skate","winter-skate","winska",23,"both","1760"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1610"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1620"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1630"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1640"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1650"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1660"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1670"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1680"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1690"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1700"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1710"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1720"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1730"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1740"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1750"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","1760"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3170"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3200"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3230"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3260"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3290"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3320"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3350"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3380"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3410"
"clearnose skate","Raja eglanteria","clearnose-skate","clearnose-skate","cleska",24,"both","3440"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1610"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1620"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1630"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1640"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1650"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1660"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1670"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1680"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1690"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1700"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1710"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1720"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1730"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1740"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1750"
"rosette skate","Leucoraja garmani","rosette-skate","rosette-skate","rosska",25,"both","1760"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1010"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1020"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1030"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1040"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1050"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1060"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1070"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1080"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1090"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1100"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1110"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1120"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1130"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1140"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1150"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1160"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1170"
"little skate","Leucoraja erinacea","little-skate","little-skate","litska",26,"both","1180"
